dataset_name,AVG Accuracy,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9
PhalangesOutlinesCorrect,0.7798368298368299,0.7610722610722611,0.7855477855477856,0.7773892773892774,0.7902097902097902,0.7622377622377622,0.7878787878787878,0.796037296037296,0.7995337995337995,0.7773892773892774,0.7610722610722611
Plane,0.9952380952380953,1.0,1.0,0.9904761904761904,0.9904761904761904,0.9904761904761904,1.0,0.9904761904761904,1.0,0.9904761904761904,1.0
PowerCons,0.9266666666666667,0.9222222222222224,0.9611111111111112,0.9111111111111112,0.9277777777777778,0.8611111111111112,0.9,0.95,0.9555555555555556,0.9388888888888888,0.9388888888888888
ProximalPhalanxOutlineAgeGroup,0.8526829268292684,0.8634146341463415,0.8731707317073171,0.8585365853658536,0.8536585365853658,0.8439024390243902,0.8292682926829268,0.8390243902439024,0.8439024390243902,0.848780487804878,0.8731707317073171
ProximalPhalanxTW,0.806829268292683,0.7902439024390244,0.8146341463414634,0.7853658536585366,0.8292682926829268,0.8097560975609757,0.8,0.824390243902439,0.7853658536585366,0.8048780487804879,0.824390243902439
SemgHandGenderCh2,0.8373333333333333,0.8416666666666667,0.7816666666666666,0.8466666666666667,0.8416666666666667,0.8466666666666667,0.8316666666666667,0.8416666666666667,0.8533333333333334,0.84,0.8483333333333334
SemgHandMovementCh2,0.6168888888888888,0.5577777777777778,0.6355555555555555,0.6022222222222222,0.6177777777777778,0.6222222222222222,0.6244444444444445,0.6822222222222222,0.6022222222222222,0.6133333333333333,0.6111111111111112
SemgHandSubjectCh2,0.7544444444444445,0.7555555555555555,0.7644444444444445,0.7711111111111111,0.7555555555555555,0.7577777777777778,0.7688888888888888,0.7022222222222222,0.7733333333333333,0.76,0.7355555555555555
SmoothSubspace,0.9886666666666667,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9866666666666668,1.0,0.9866666666666668,0.9733333333333334
SonyAIBORobotSurface1,0.7993344425956739,0.8236272878535774,0.8519134775374376,0.6905158069883528,0.7587354409317804,0.831946755407654,0.6688851913477537,0.8236272878535774,0.8652246256239601,0.8502495840266223,0.8286189683860233
SyntheticControl,0.9726666666666667,0.96,0.9666666666666668,0.9766666666666668,0.99,0.9666666666666668,0.9633333333333334,0.98,0.9633333333333334,0.9866666666666668,0.9733333333333334
Wafer,0.9758760545100584,0.9761518494484102,0.972744970798183,0.97874756651525,0.9793964957819598,0.97680077871512,0.973069435431538,0.9829656067488644,0.9720960415314732,0.9738805970149254,0.9729072031148605
